[17:26:07] [INFO] received Windows console close event; shutting log-core down
[17:28:31] [INFO] received Windows console close event; shutting log-core down
[18:47:21] [INFO] received Windows console close event; shutting log-core down
[18:48:14] [INFO] received Windows console close event; shutting log-core down
[18:49:37] [INFO] received Windows console close event; shutting log-core down
[18:51:03] [INFO] received Windows console close event; shutting log-core down
[18:56:01] [INFO] received Windows console close event; shutting log-core down
[19:13:17] [INFO] received Windows console close event; shutting log-core down
[19:23:19] [INFO] received Windows console close event; shutting log-core down
[19:23:56] [INFO] received Windows console close event; shutting log-core down
[19:29:39] [INFO] received Windows console close event; shutting log-core down
[00:35:38] [INFO] received Windows console close event; shutting log-core down
[02:02:39] [INFO] received Windows console close event; shutting log-core down
[21:45:53] [INFO] received Windows console close event; shutting log-core down
